Ranked Marker Expression for each Archetype (by Z-score)
============================================================

--- Archetype 1: Archetype 1: CD45RO/CD62L/CD45RA^hi CD16+TIGIT/CD366^lo ---
CD366           | Z-score: -0.79
CD279+CD24      | Z-score: -0.82
CD4+CD33        | Z-score: -1.07
CD16+TIGIT      | Z-score: -1.86

--- Archetype 15: Archetype 15: CD45RA/CD45RO/CD62L^hi CD56/CD4+CD33/CD366^lo ---
CD62L           | Z-score: +1.63
CD45RO          | Z-score: +1.45
CD45RA          | Z-score: +1.40
CD3+CD19        | Z-score: +1.03
CD69            | Z-score: +0.89
CD95            | Z-score: +0.68
CD8+CD14        | Z-score: +0.51
CD34+CD223      | Z-score: -0.11
CD197           | Z-score: -0.16
CD152           | Z-score: -0.37
CD45            | Z-score: -0.59
CD279+CD24      | Z-score: -0.68
CD25            | Z-score: -0.69
CD16+TIGIT      | Z-score: -1.16
CD366           | Z-score: -1.16
CD4+CD33        | Z-score: -1.33
CD56            | Z-score: -1.35

--- Archetype 16: Archetype 16: CD45RA/CD45RO/CD62L^hi CD366/CD56/CD4+CD33^lo ---
CD62L           | Z-score: +1.84
CD45RO          | Z-score: +1.33
CD45RA          | Z-score: +1.19
CD69            | Z-score: +0.94
CD197           | Z-score: +0.71
CD95            | Z-score: +0.64
CD8+CD14        | Z-score: +0.62
CD3+CD19        | Z-score: +0.18
CD152           | Z-score: +0.02
CD279+CD24      | Z-score: -0.34
CD25            | Z-score: -0.63
CD34+CD223      | Z-score: -0.66
CD16+TIGIT      | Z-score: -0.68
CD45            | Z-score: -1.05
CD4+CD33        | Z-score: -1.11
CD56            | Z-score: -1.38
CD366           | Z-score: -1.61

--- Archetype 17: Archetype 17: CD3+CD19/CD62L/CD45RA^hi CD366/CD4+CD33/CD16+TIGIT^lo ---
CD45RA          | Z-score: +1.64
CD62L           | Z-score: +1.51
CD3+CD19        | Z-score: +1.22
CD45RO          | Z-score: +1.15
CD95            | Z-score: +0.94
CD197           | Z-score: +0.78
CD69            | Z-score: +0.31
CD152           | Z-score: -0.09
CD279+CD24      | Z-score: -0.13
CD8+CD14        | Z-score: -0.50
CD56            | Z-score: -0.54
CD34+CD223      | Z-score: -0.71
CD25            | Z-score: -0.75
CD45            | Z-score: -0.86
CD16+TIGIT      | Z-score: -1.21
CD4+CD33        | Z-score: -1.25
CD366           | Z-score: -1.51

--- Archetype 18: Archetype 18: CD45RA/CD95/CD62L^hi CD4+CD33/CD279+CD24/CD56^lo ---
CD62L           | Z-score: +1.78
CD95            | Z-score: +1.25
CD45RA          | Z-score: +1.19
CD45RO          | Z-score: +1.11
CD69            | Z-score: +0.77
CD197           | Z-score: +0.56
CD3+CD19        | Z-score: +0.54
CD152           | Z-score: +0.34
CD8+CD14        | Z-score: -0.24
CD45            | Z-score: -0.43
CD34+CD223      | Z-score: -0.47
CD16+TIGIT      | Z-score: -0.49
CD25            | Z-score: -0.79
CD366           | Z-score: -0.79
CD56            | Z-score: -1.25
CD279+CD24      | Z-score: -1.55
CD4+CD33        | Z-score: -1.55

--- Archetype 19: Archetype 19: CD62L/CD45RO^hi CD4+CD33/CD16+TIGIT/CD56^lo ---
CD45RO          | Z-score: +1.95
CD62L           | Z-score: +1.84
CD152           | Z-score: +0.96
CD45RA          | Z-score: +0.89
CD3+CD19        | Z-score: +0.61
CD197           | Z-score: +0.54
CD95            | Z-score: +0.13
CD8+CD14        | Z-score: -0.03
CD69            | Z-score: -0.10
CD34+CD223      | Z-score: -0.24
CD366           | Z-score: -0.36
CD279+CD24      | Z-score: -0.36
CD45            | Z-score: -0.87
CD25            | Z-score: -0.88
CD56            | Z-score: -1.22
CD16+TIGIT      | Z-score: -1.33
CD4+CD33        | Z-score: -1.51

--- Archetype 20: Archetype 20: CD95/CD45RA/CD62L^hi CD366/CD25/CD56^lo ---
CD62L           | Z-score: +2.31
CD45RA          | Z-score: +1.69
CD95            | Z-score: +1.02
CD197           | Z-score: +0.70
CD45RO          | Z-score: +0.69
CD152           | Z-score: +0.22
CD3+CD19        | Z-score: +0.15
CD8+CD14        | Z-score: -0.04
CD69            | Z-score: -0.16
CD34+CD223      | Z-score: -0.31
CD16+TIGIT      | Z-score: -0.33
CD4+CD33        | Z-score: -0.62
CD45            | Z-score: -0.65
CD279+CD24      | Z-score: -0.81
CD56            | Z-score: -1.16
CD25            | Z-score: -1.33
CD366           | Z-score: -1.38

